X,Y,OBJECTID,incident_number,incident_type,incident_type_description,arrive_date_time,cleared_date_time,dispatch_date_time,exposure,platoon,station,address,address2,apt_room,GlobalID,CreationDate,Creator,EditDate,Editor
-8757766.9416,4284050.6102,474775,11-0036227,554,Assist invalid,2011/12/15 13:18:00+00,2011/12/15 13:29:00+00,2011/12/15 13:10:00+00,0,A,18,"7013 CEDAR BEND CT RALEIGH, NC 27601",,               ,5c7a213b-7fd8-4b7d-8cc9-2fa01d160b33,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753517.1378,4277379.4603,474776,14-0012080,700,False alarm or false call Other,2014/04/26 05:35:00+00,2014/04/26 05:43:00+00,2014/04/26 05:32:00+00,0,A,9,"3829 BROWNING PL RALEIGH, NC 27601",,               ,239196e9-c64c-4dd2-9c37-58f6ac5f2d1a,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8743747.0716,4285159.8418,474777,14-0012609,511,Lock-out,2014/05/01 01:02:00+00,2014/05/01 01:18:00+00,2014/05/01 00:55:00+00,0,B,22,"5614 APALACHICULA DR RALEIGH, NC 27603",,               ,0f83feb0-8dad-4f6a-8ef7-16a4cca98d46,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8745020.9534,4285071.8442,474778,10-0013764,510,Person in distress Other,2010/05/15 17:49:00+00,2010/05/15 17:59:00+00,2010/05/15 17:45:00+00,0,C,22,"8431 BERKSHIRE VILLAGE CT RALEIGH, NC 27603",,               ,9046e10a-2654-4c19-b0a6-b4e18b8ffa67,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8745386.747,4291978.66,474779,14-0015120,500,Service Call other,2014/05/24 14:52:00+00,2014/05/24 16:20:00+00,2014/05/24 14:48:00+00,0,A,25,"2637 VEGA CT RALEIGH, NC 27603",,               ,a8c249a3-281e-4eb7-9c10-c2d364e4fd07,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8762184.9515,4278473.8064,474780,08-0022351,554,Assist invalid,2008/08/13 12:17:00+00,2008/08/13 12:26:00+00,2008/08/13 12:11:00+00,0,A,17,"3808 BIRCHWOOD CT RALEIGH, NC 27601",,               ,1e7bb08c-3ffd-49c8-9799-38b332ce795d,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753680.104,4268188.2242,474781,13-0011208,611,Dispatched & cancelled en route,,2013/04/19 08:55:00+00,2013/04/19 08:47:00+00,0,C,2,"1311 S PERSON ST RALEIGH, NC 27601",,               ,e776f336-4095-43ec-ae9c-71b665386ebd,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8748684.687,4286834.1671,474782,11-0023672,111,Building fire,2011/08/15 23:20:00+00,2011/08/16 00:40:00+00,2011/08/15 23:15:00+00,0,C,22,"2804 POLESDON CT RALEIGH, NC 27614",,               ,effed860-703b-42c2-af57-deab676fd426,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8756084.9367,4272898.7706,474783,08-0012525,554,Assist invalid,2008/05/05 13:22:00+00,2008/05/05 15:36:00+00,2008/05/05 13:16:00+00,0,C,6,"1009 WADE AVE RALEIGH, NC 27608",,110,3f5556a3-d5b5-4fde-94e0-23ae4ae32658,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8746840.958,4290515.5222,474784,08-0010940,500,Service Call other,2008/04/18 18:05:00+00,2008/04/18 18:05:00+00,2008/04/18 18:00:00+00,0,A,22,"1932 HORNBECK CT RALEIGH, NC 27601",,               ,1ea0034b-977f-453c-9df7-71d0fe79943a,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8747168.5641,4277854.3672,474785,14-0015693,611,Dispatched & cancelled en route,2014/05/29 21:21:00+00,2014/05/29 21:23:00+00,2014/05/29 21:16:00+00,0,A,27,"3716 SUMMER PL RALEIGH, NC 27601",,               ,c70d3b87-2cae-4418-a7c2-bdbe4c2308de,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8760331.212,4282796.6613,474786,08-0005842,511,Lock-out,2008/02/27 17:11:00+00,2008/02/27 17:16:00+00,2008/02/27 17:02:00+00,0,B,17,"6601 ROUNDSTONE DR RALEIGH, NC 27601",,305,70cb267a-0165-4262-972d-bf7ab44cb89d,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753523.4472,4271392.2252,474787,08-0035563,100,Fire Other,2008/12/18 16:13:00+00,2008/12/18 16:53:00+00,2008/12/18 16:10:00+00,0,C,3,"306 PELL ST RALEIGH, NC 27601",,               ,c37aa25c-cb7c-4890-b4c8-7e28b86077ba,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8757340.7794,4272433.4072,474788,13-0015972,444,Power line down,2013/06/01 17:53:00+00,2013/06/01 18:05:00+00,2013/06/01 17:48:00+00,0,B,5,"2620 VAN DYKE AVE RALEIGH, NC 27605",,               ,03d9166c-e83d-4bb5-a9bf-28b6101ee369,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8749497.2945,4282108.3339,474789,07-0000961,511,Lock-out,2007/01/11 00:49:00+00,2007/01/11 01:03:00+00,2007/01/11 00:46:00+00,0,A,15,"6318 LITCHFORD RD RALEIGH, NC 27601",,               ,e8deb405-0c48-4dfb-950e-6e7fe2328e56,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8749464.5459,4284145.3423,474790,07-0013896,160,Special outside fire Other,2007/05/21 13:02:00+00,2007/05/21 13:32:00+00,2007/05/21 12:54:00+00,0,A,19,"7400 LITCHFORD RD RALEIGH, NC 27601",,               ,342775d7-9074-4421-8a4c-91ab16180ca3,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8758379.7804,4276476.9343,474791,10-0004131,440,Electrical  wiring/equipment problem Other,2010/02/10 23:01:00+00,2010/02/10 23:18:00+00,2010/02/10 22:56:00+00,0,C,14,"1113 GLEN EDEN DR RALEIGH, NC 27601",,               ,47c63951-ab51-4f9b-af30-b19a84328d54,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8746993.8423,4280662.0729,474792,11-0004219,531,Smoke or odor removal,2011/02/11 21:20:00+00,2011/02/11 21:45:00+00,2011/02/11 21:12:00+00,0,B,19,"5001 CAPE BRETON DR RALEIGH, NC 27601",,202,32dcb24f-e829-46a8-b334-af1a4d25b2fd,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753979.2262,4273663.6861,474793,11-0008682,611,Dispatched & cancelled en route,2011/03/27 15:16:00+00,2011/03/27 15:22:00+00,2011/03/27 15:09:00+00,0,A,1,"107 E AYCOCK ST RALEIGH, NC 27601",,               ,150d59ce-96d1-439f-a7af-e6509333654d,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753595.8297,4268120.882,474794,07-0008975,911,Citizen complaint,2007/04/03 02:42:00+00,2007/04/03 02:47:00+00,2007/04/03 02:39:00+00,0,B,3,"311 HOKE ST RALEIGH, NC 27601",,               ,0e752792-fbba-47ee-9bef-f8597f15d650,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753554.2798,4269770.1218,474795,10-0021986,735,Alarm system sounded due to malfunction,2010/08/01 11:04:00+00,2010/08/01 11:07:00+00,2010/08/01 11:02:00+00,0,C,9,"4351 LASSITER & RALEIGH, NC 27601",,               ,57952d5c-e105-4e38-9801-687d1a1bddb2,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8752773.7249,4281437.0924,474796,13-0014657,422,Chemical spill or leak,2013/05/20 20:23:00+00,2013/05/20 21:28:00+00,2013/05/20 20:19:00+00,0,A,15,"5845 BRANCHWOOD RD RALEIGH, NC 27601",,               ,542d6de8-6d39-4d86-9756-54d44047d8c7,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8755900.3541,4279537.9737,474797,10-0002974,,NULL,2010/01/30 05:09:00+00,2010/01/30 05:32:00+00,2010/01/30 05:03:00+00,0, ,,"1113 KIMBERLY DR RALEIGH, NC 27609",,               ,274400ea-4d2b-481e-93a8-1c3dafeb1274,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8754447.8321,4278293.2423,474798,07-0026099,611,Dispatched & cancelled en route,,2007/09/20 15:18:00+00,2007/09/20 15:17:00+00,0,B,9,"4120 MAIN AT NORTH HILLS ST RALEIGH, NC 27609",,105,07a6f7e5-77e8-4037-9b09-1c98af34b517,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8754878.4157,4280653.9746,474799,11-0022652,445,Arcing shorted electrical equipment,2011/08/06 11:44:00+00,2011/08/06 12:12:00+00,2011/08/06 11:39:00+00,0,C,9,"705 COVENTRY CT RALEIGH, NC 27609",,               ,84c323df-f7c8-4763-b865-ea76f27aec8c,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8749069.4316,4279169.6743,474800,13-0022272,500,Service Call other,2013/07/31 11:17:00+00,2013/07/31 11:37:00+00,2013/07/31 11:09:00+00,0,B,19,"4741 MATT DR RALEIGH, NC 27601",,A              ,28138846-01bf-44e2-a584-df777662899e,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8751489.3344,4281790.7938,474801,13-0025258,743,Smoke detector activation no fire - unintentional,2013/08/28 03:06:00+00,2013/08/28 03:30:00+00,2013/08/28 03:01:00+00,0,A,15,"1404 FALLS CHURCH RD RALEIGH, NC 27601",,               ,9086c99d-bb11-462c-91fa-f17a553ba77f,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8750410.9045,4272126.1247,474802,13-0017305,500,Service Call other,2013/06/13 22:02:00+00,2013/06/13 22:03:00+00,2013/06/13 22:01:00+00,0,C,3,"2322 GLASCOCK ST RALEIGH, NC 27601",,               ,07330e37-c295-4b46-be4b-ce6894ee3c5c,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8747886.0398,4267270.4089,474803,11-0023269,511,Lock-out,2011/08/12 01:20:00+00,2011/08/12 01:33:00+00,2011/08/12 01:16:00+00,0,A,12,"1405 SPRINGSHIRE CT RALEIGH, NC 27601",,               ,7ade20ea-959e-4b36-8e36-3abb1cd1e983,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8750498.4518,4269132.6017,474804,11-0011718,611,Dispatched & cancelled en route,,2011/04/22 12:29:00+00,2011/04/22 12:28:00+00,0,C,12,"511 PEYTON ST RALEIGH, NC 27601",,D              ,872567b9-64e0-4473-8760-eb209d1843be,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8758223.349,4265742.4343,474805,11-0011907,611,Dispatched & cancelled en route,,2011/04/24 04:50:00+00,2011/04/24 04:47:00+00,0,A,20,"2534 LAKE WHEELER RD RALEIGH, NC 27601",,               ,8a713cb3-ddd0-4659-a23d-81f9c2a26953,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8744579.3349,4282880.1506,474806,11-0036954,424,Carbon monoxide incident,2011/12/22 20:19:00+00,2011/12/22 20:30:00+00,2011/12/22 20:19:00+00,0,A,19,"6801 HERMAN PL RALEIGH, NC 27601",,               ,8817ed17-0b1f-48f6-8096-737c387debc9,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8751736.3952,4288852.7012,474807,14-9032161,,NULL,2014/12/21 20:20:00+00,2014/12/21 20:21:00+00,2014/12/21 20:12:00+00,0, ,,"5021 WYNNEFORD WAY RALEIGH, NC 27601",,               ,0b713c0d-8a84-43b3-8d31-c72988c3adcb,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8749176.9347,4267800.8156,474808,11-0027128,710,Malicious mischievous false call Other,2011/09/16 11:11:00+00,2011/09/16 11:18:00+00,2011/09/16 11:07:00+00,0,A,12,"1224 BEVERLY DR RALEIGH, NC 27601",,               ,427c39f1-d44f-4cf6-a40e-882dd19435bc,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8749187.2727,4277126.7979,474809,10-0033792,746,Carbon monoxide detector activation no CO,2010/11/20 00:07:00+00,2010/11/20 00:13:00+00,2010/11/20 00:05:00+00,0,A,11,"3513 ALLENDALE DR RALEIGH, NC 27601",,               ,a44511e7-18e2-4f91-8cf3-5513ebf59d9d,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8750167.7382,4266707.3019,474810,10-0010166,611,Dispatched & cancelled en route,,2010/04/11 03:19:00+00,2010/04/11 03:17:00+00,0,A,10,"2612 ALABASTER CT RALEIGH, NC 27601",,               ,0ffb5795-2838-48eb-92a0-f0fc8e9375a8,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8767937.9871,4288358.8119,474811,08-0004221,500,Service Call other,2008/02/12 09:40:00+00,2008/02/12 11:04:00+00,2008/02/12 09:15:00+00,0,B,24,"7405 ACC BLVD RALEIGH, NC 27603",,               ,362a5046-1b28-4ea1-8e4e-0edd9e561407,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8753554.2798,4269770.1218,474812,13-9001358,622,No Incident found on arrival at dispatch address,2013/01/17 20:58:00+00,2013/01/17 21:10:00+00,2013/01/17 20:52:00+00,0,B,24,"1705 JOHN BRANTLEY BLVD RALEIGH, NC 27601",,               ,f4596d9f-b955-4cf6-897c-bf252db504dc,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8759372.6306,4273933.7079,474813,14-0008725,611,Dispatched & cancelled en route,2014/03/24 17:36:00+00,2014/03/24 17:37:00+00,2014/03/24 17:32:00+00,0,C,14,"3621 ANCLOTE PL RALEIGH, NC 27601",,               ,1815fe49-f54e-42ed-8f57-56b34a8afc3b,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8761124.803,4279534.053,474814,14-0011716,111,Building fire,2014/04/22 23:23:00+00,2014/04/23 00:43:00+00,2014/04/22 23:18:00+00,0,C,17,"4725 OAK PARK RD RALEIGH, NC 27601",,               ,b7eeb9a3-9fd2-4ed8-b629-c76d8163caad,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8747064.9969,4280523.91,474815,10-0018113,554,Assist invalid,2010/06/26 13:27:00+00,2010/06/26 13:36:00+00,2010/06/26 13:24:00+00,0,B,19,"3806 GREY HARBOR DR RALEIGH, NC 27601",,302,97829737-9ba4-47f4-ae30-e156076f905e,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8752795.393,4282520.998,474816,09-0009421,131,Passenger vehicle fire,2009/04/03 02:31:00+00,2009/04/03 02:45:00+00,2009/04/03 02:26:00+00,0,B,15,"6509 THE LAKES DR RALEIGH, NC 27601",,               ,0023cbe5-6d1b-47ff-826d-ee4f73779eec,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
-8752801.2295,4268218.6872,474817,07-0029954,,NULL,2007/10/29 18:06:00+00,2007/10/29 18:11:00+00,2007/10/29 18:01:00+00,0, ,,"1305 HIGHCOURT DR RALEIGH, NC 27601",,101,0ff9f3e1-f83a-4d9e-bc39-c3e099a8f082,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral,2021/06/02 14:03:34.248+00,justin.greco@raleighnc.gov_ral
